,old-man-sea-words
620,metal
621,confidence
622,youth
623,job
624,older
625,lack
626,young
627,nonsense
628,lock
629,need
630,different
631,dressed
632,question
633,although
634,beautiful
635,reluctant
636,may
637,needs
638,bodegas
639,understand
640,pleasant
641,lighted
642,also
643,shadows
644,turning
645,continued
646,conversation
647,necessary
648,music
649,certainly
650,bar
651,provided
652,hours
653,dread
654,needed
655,certain
656,cleanness
657,order
658,nada
659,pues
660,art
661,thy
662,kingdom
663,daily
664,nadas
665,deliver
666,hail
667,thee
668,smiled
669,shining
670,steam
671,pressure
672,coffee
673,machine
674,barman
675,otro
676,loco
677,mas
678,turned
679,cup
680,bright
681,unpolished
682,answer
683,copita
684,disliked
685,bars
686,thinking
687,room
688,lie
689,finally
690,sleep
691,insomnia
692,bartender
693,reached
694,covers
695,free-lunch
696,bowls
697,beer
698,drew
699,spatula
700,wood
701,slid
702,tom
703,pushed
704,heads
705,rye
706,bowl
707,pickled
708,pig
709,wooden
710,worked
711,scissors
712,forks
713,cover
714,fork
715,watching
716,cents
717,straightened
718,uncovered
719,goddam
720,stink
721,spit
722,mouth
723,punks
724,says
725,tommy
726,listen
727,idea
728,wo
729,wrong
730,station
731,smelled
732,hides
733,tan
734,bark
735,piles
736,sawdust
737,cold
738,puddles
739,road
740,freezing
741,edges
742,whores
743,train
744,six
745,men
746,indians
747,crowded
748,hot
749,stove
750,stale
751,smoke
752,ticket
753,window
754,stagged
755,trousers
756,lumbermen
757,rubbers
758,mackinaw
759,shirt
760,others
761,cap
762,face
763,thin
764,sure
765,snickered
766,interfere
767,cook
768,holding
769,lips
770,puts
771,lemon
772,juice
773,dishwater
774,laughed
775,loud
776,whore
777,silk
778,dresses
779,colors
780,nearly
781,weighed
782,believe
783,real
784,changeable
785,bench
786,huge
787,ordinary
788,peroxide
789,blondes
790,nodded
791,quickly
792,disgusting
793,mountain
794,flesh
795,laughing
796,shaking
797,oh
798,christ
799,nice
800,voice
801,sweet
802,ones
803,acted
804,placid
805,sense
806,dignified
807,besides
808,talked
809,lumberjacks
810,listened
811,interested
812,bashful
813,ready
814,swedes
815,spoke
816,hay
817,mow
818,swear
819,anywhere
820,boys
821,ninety-six
822,sixty-nine
823,ho
824,really
825,smile
826,decent
827,friendly
828,seventeen
829,nineteen
830,call
831,alice
832,began
833,shake
834,girls
835,names
836,hazel
837,ethel
838,frances
839,wilson
840,fresh
841,wants
842,spitfire
843,regular
844,blonde
845,goddamned
846,mossbacks
847,commenced
848,laugh
849,there's
850,lads
851,bound
852,cadillac
853,sister
854,lives
855,speak
856,decently
857,steve
858,ketchel
859,ad
860,wolgast
861,shy
862,high
863,trigger
864,father
865,shot
866,yes
867,stanley
868,finest
869,tiger
870,free-est
871,spender
872,love
